name,family,category,size,seed,paradigm,solver,status,proved_optimal,objective,runtime_s,memory_peak_mb,best_at_10s,best_at_30s,best_at_60s,timeout_s
A_knapsack_320_0,knapsack,A,320,0,milp,cbc,OPTIMAL,True,2533,0.0953,60.27,2533,2533,2533,30.0
A_knapsack_320_0,knapsack,A,320,0,milp,highs,OPTIMAL,True,2533,0.1134,58.68,2533,2533,2533,30.0
A_knapsack_320_0,knapsack,A,320,0,milp,scip,OPTIMAL,True,2533,0.0163,0.0,2533,2533,2533,30.0
A_knapsack_320_0,knapsack,A,320,0,milp,gurobi-ind,OPTIMAL,True,2533,0.004,0.0,2533,2533,2533,30.0
A_knapsack_320_0,knapsack,A,320,0,milp,cplex-ind,OPTIMAL,True,2533,0.0067,0.0,2533,2533,2533,30.0
A_knapsack_320_0,knapsack,A,320,0,cp,gecode,SAT,False,1727,30.0,40.47,1717,1727,1727,30.0
A_knapsack_320_0,knapsack,A,320,0,cp,cpsat,OPTIMAL,True,2533,0.1182,99.78,2533,2533,2533,30.0
A_knapsack_640_0,knapsack,A,640,0,omt,z3,TIMEOUT,False,,30.0057,41.78,,,,30.0
A_knapsack_640_0,knapsack,A,640,0,omt,optimathsat,TIMEOUT,False,,30.0093,26.61,,,,30.0
A_knapsack_640_0,knapsack,A,640,0,milp,cbc,OPTIMAL,True,5078,0.1031,60.55,5078,5078,5078,30.0
A_knapsack_640_0,knapsack,A,640,0,milp,highs,OPTIMAL,True,5078,0.0832,56.52,5078,5078,5078,30.0
A_knapsack_640_0,knapsack,A,640,0,milp,scip,OPTIMAL,True,5078,0.075,0.0,5078,5078,5078,30.0
A_knapsack_640_0,knapsack,A,640,0,milp,gurobi-ind,OPTIMAL,True,5078,0.0066,0.0,5078,5078,5078,30.0
A_knapsack_640_0,knapsack,A,640,0,milp,cplex-ind,OPTIMAL,True,5078,0.0157,0.0,5078,5078,5078,30.0
A_knapsack_640_0,knapsack,A,640,0,cp,gecode,SAT,False,3430,30.0,56.25,3419,3429,3430,30.0
A_knapsack_640_0,knapsack,A,640,0,cp,cpsat,OPTIMAL,True,5078,0.5783,116.47,5078,5078,5078,30.0
B_jobshop_6_0,jobshop,B,6,0,omt,z3,OPTIMAL,True,42,0.1192,35.78,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,omt,optimathsat,OPTIMAL,True,42,0.1198,7.73,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,cbc-bigm,OPTIMAL,True,42,1.8756,103.57,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,highs-bigm,OPTIMAL,True,42,0.9785,64.19,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,scip-bigm,OPTIMAL,True,42,0.0251,0.0,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,highs-hull,ERROR,False,,9.788,0.0,,,,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,gurobi-ind,OPTIMAL,True,42,0.0306,0.0,42,42,42,30.0
B_jobshop_6_0,jobshop,B,6,0,milp,cplex-ind,OPTIMAL,True,42,0.0986,87.5,42,42,42,30.0
