name,family,category,size,seed,paradigm,solver,status,proved_optimal,objective,runtime_s,memory_peak_mb,best_at_10s,best_at_30s,best_at_60s,timeout_s
B_jobshop_8_0,jobshop,B,8,0,milp,scip,SAT,False,54,31.431,0.0,,,54,30.0
B_jobshop_8_0,jobshop,B,8,0,cp,gecode,OPTIMAL,True,54,0.9676,35.11,54,54,54,30.0
B_jobshop_8_0,jobshop,B,8,0,cp,cpsat,OPTIMAL,True,54,0.0101,339.32,54,54,54,30.0
B_jobshop_10_0,jobshop,B,10,0,omt,z3,TIMEOUT,False,,30.0071,49.91,,,,30.0
B_jobshop_10_0,jobshop,B,10,0,omt,optimathsat,TIMEOUT,False,,30.0105,23.99,,,,30.0
B_jobshop_10_0,jobshop,B,10,0,milp,cbc,SAT,False,68,31.5672,381.51,,,68,30.0
B_jobshop_10_0,jobshop,B,10,0,milp,highs,SAT,False,68,30.0163,339.79,,,68,30.0
B_jobshop_10_0,jobshop,B,10,0,milp,scip,SAT,False,68,30.0137,339.79,,,68,30.0
B_jobshop_10_0,jobshop,B,10,0,cp,gecode,SAT,False,68,30.0,35.38,68,68,68,30.0
B_jobshop_10_0,jobshop,B,10,0,cp,cpsat,OPTIMAL,True,68,0.0058,339.8,68,68,68,30.0
B_jobshop_12_0,jobshop,B,12,0,omt,z3,TIMEOUT,False,,30.0084,51.73,,,,30.0
B_jobshop_12_0,jobshop,B,12,0,omt,optimathsat,TIMEOUT,False,,30.0095,22.89,,,,30.0
B_jobshop_12_0,jobshop,B,12,0,milp,cbc,SAT,False,81,32.4647,391.92,,,81,30.0
B_jobshop_12_0,jobshop,B,12,0,milp,highs,SAT,False,81,31.625,339.8,,,81,30.0
B_jobshop_12_0,jobshop,B,12,0,milp,scip,SAT,False,81,31.6937,0.0,,,81,30.0
B_jobshop_12_0,jobshop,B,12,0,cp,gecode,SAT,False,81,30.0,39.67,82,81,81,30.0
B_jobshop_12_0,jobshop,B,12,0,cp,cpsat,OPTIMAL,True,81,0.0044,339.8,81,81,81,30.0
B_jobshop_16_0,jobshop,B,16,0,omt,z3,TIMEOUT,False,,30.0077,47.16,,,,30.0
B_jobshop_16_0,jobshop,B,16,0,omt,optimathsat,TIMEOUT,False,,30.0094,25.93,,,,30.0
B_jobshop_16_0,jobshop,B,16,0,milp,cbc,SAT,False,95,31.852,402.38,,,95,30.0
B_jobshop_16_0,jobshop,B,16,0,milp,highs,SAT,False,95,31.6848,339.83,,,95,30.0
B_jobshop_16_0,jobshop,B,16,0,milp,scip,SAT,False,95,30.014,0.0,,,95,30.0
B_jobshop_16_0,jobshop,B,16,0,cp,gecode,SAT,False,101,30.0,40.75,101,101,101,30.0
B_jobshop_16_0,jobshop,B,16,0,cp,cpsat,OPTIMAL,True,95,0.0047,339.84,95,95,95,30.0
B_config_100_0,config,B,100,0,omt,z3,OPTIMAL,True,427,5.3404,37.27,427,427,427,30.0
B_config_100_0,config,B,100,0,omt,optimathsat,OPTIMAL,True,427,0.9695,22.69,427,427,427,30.0
B_config_100_0,config,B,100,0,milp,cbc,OPTIMAL,True,427,0.0937,347.6,427,427,427,30.0
B_config_100_0,config,B,100,0,milp,highs,OPTIMAL,True,427,0.0315,339.84,427,427,427,30.0
B_config_100_0,config,B,100,0,milp,scip,OPTIMAL,True,427,0.0193,0.0,427,427,427,30.0
B_config_100_0,config,B,100,0,cp,gecode,SAT,False,622,30.0,34.93,702,622,622,30.0
B_config_100_0,config,B,100,0,cp,cpsat,OPTIMAL,True,427,0.0545,339.86,427,427,427,30.0
B_config_200_0,config,B,200,0,omt,z3,TIMEOUT,False,,30.0066,38.18,,,,30.0
B_config_200_0,config,B,200,0,omt,optimathsat,OPTIMAL,True,873,10.3269,31.16,,873,873,30.0
B_config_200_0,config,B,200,0,milp,cbc,OPTIMAL,True,873,0.0954,347.47,873,873,873,30.0
B_config_200_0,config,B,200,0,milp,highs,OPTIMAL,True,873,0.0306,339.86,873,873,873,30.0
B_config_200_0,config,B,200,0,milp,scip,OPTIMAL,True,873,0.0211,0.0,873,873,873,30.0
B_config_200_0,config,B,200,0,cp,gecode,SAT,False,1935,30.0,35.45,1935,1935,1935,30.0
B_config_200_0,config,B,200,0,cp,cpsat,OPTIMAL,True,873,1.0859,339.86,873,873,873,30.0
B_config_400_0,config,B,400,0,omt,z3,TIMEOUT,False,,30.0068,48.34,,,,30.0
B_config_400_0,config,B,400,0,omt,optimathsat,TIMEOUT,False,,30.0111,44.28,,,,30.0
B_config_400_0,config,B,400,0,milp,cbc,OPTIMAL,True,1722,0.1446,351.76,1722,1722,1722,30.0
B_config_400_0,config,B,400,0,milp,highs,OPTIMAL,True,1722,0.2701,339.86,1722,1722,1722,30.0
B_config_400_0,config,B,400,0,milp,scip,OPTIMAL,True,1722,0.1361,0.0,1722,1722,1722,30.0
B_config_400_0,config,B,400,0,cp,gecode,SAT,False,5394,30.0,41.36,5456,5394,5394,30.0
B_config_400_0,config,B,400,0,cp,cpsat,SAT,False,1783,31.423,339.86,1838,1783,1783,30.0
B_config_800_0,config,B,800,0,omt,z3,TIMEOUT,False,,30.0069,56.33,,,,30.0
B_config_800_0,config,B,800,0,omt,optimathsat,TIMEOUT,False,,30.0098,55.07,,,,30.0
B_config_800_0,config,B,800,0,milp,cbc,OPTIMAL,True,3282,0.1613,353.71,3282,3282,3282,30.0
B_config_800_0,config,B,800,0,milp,highs,OPTIMAL,True,3282,0.133,339.86,3282,3282,3282,30.0
B_config_800_0,config,B,800,0,milp,scip,OPTIMAL,True,3282,0.1575,0.0,3282,3282,3282,30.0
B_config_800_0,config,B,800,0,cp,gecode,SAT,False,9712,30.0,48.16,9772,9716,9712,30.0
B_config_800_0,config,B,800,0,cp,cpsat,SAT,False,3934,29.9919,335.92,3959,3934,3934,30.0
B_setcover_40_0,setcover,B,40,0,omt,z3,OPTIMAL,True,94,0.0327,1.11,94,94,94,30.0
B_setcover_40_0,setcover,B,40,0,omt,optimathsat,OPTIMAL,True,94,0.1172,6.85,94,94,94,30.0
B_setcover_40_0,setcover,B,40,0,milp,cbc,OPTIMAL,True,94,0.0766,243.2,94,94,94,30.0
B_setcover_40_0,setcover,B,40,0,milp,highs,OPTIMAL,True,94,0.0059,235.8,94,94,94,30.0
B_setcover_40_0,setcover,B,40,0,milp,scip,OPTIMAL,True,94,0.0028,0.0,94,94,94,30.0
B_setcover_40_0,setcover,B,40,0,cp,gecode,OPTIMAL,True,94,0.115,14.88,94,94,94,30.0
B_setcover_40_0,setcover,B,40,0,cp,cpsat,OPTIMAL,True,94,0.0012,235.8,94,94,94,30.0
B_setcover_80_0,setcover,B,80,0,omt,z3,OPTIMAL,True,58,0.115,36.5,58,58,58,30.0
B_setcover_80_0,setcover,B,80,0,omt,optimathsat,OPTIMAL,True,58,0.1172,6.92,58,58,58,30.0
B_setcover_80_0,setcover,B,80,0,milp,cbc,OPTIMAL,True,58,0.0795,243.5,58,58,58,30.0
B_setcover_80_0,setcover,B,80,0,milp,highs,OPTIMAL,True,58,0.0167,235.8,58,58,58,30.0
B_setcover_80_0,setcover,B,80,0,milp,scip,OPTIMAL,True,58,0.0054,0.0,58,58,58,30.0
B_setcover_80_0,setcover,B,80,0,cp,gecode,OPTIMAL,True,58,0.115,14.89,58,58,58,30.0
B_setcover_80_0,setcover,B,80,0,cp,cpsat,OPTIMAL,True,58,0.0042,235.8,58,58,58,30.0
B_setcover_160_0,setcover,B,160,0,omt,z3,TIMEOUT,False,,30.005,39.03,,,,30.0
B_setcover_160_0,setcover,B,160,0,omt,optimathsat,TIMEOUT,False,,30.0083,27.39,,,,30.0
B_setcover_160_0,setcover,B,160,0,milp,cbc,OPTIMAL,True,47,0.1117,242.94,47,47,47,30.0
B_setcover_160_0,setcover,B,160,0,milp,highs,OPTIMAL,True,47,0.0643,235.81,47,47,47,30.0
B_setcover_160_0,setcover,B,160,0,milp,scip,OPTIMAL,True,47,0.0301,0.0,47,47,47,30.0
B_setcover_160_0,setcover,B,160,0,cp,gecode,SAT,False,78,30.0,40.05,84,78,78,30.0
B_setcover_160_0,setcover,B,160,0,cp,cpsat,OPTIMAL,True,47,0.2015,235.81,47,47,47,30.0
B_setcover_320_0,setcover,B,320,0,omt,z3,TIMEOUT,False,,30.0063,46.79,,,,30.0
B_setcover_320_0,setcover,B,320,0,omt,optimathsat,TIMEOUT,False,,30.0104,48.01,,,,30.0
B_setcover_320_0,setcover,B,320,0,milp,cbc,OPTIMAL,True,42,1.736,263.13,42,42,42,30.0
B_setcover_320_0,setcover,B,320,0,milp,highs,OPTIMAL,True,42,4.7966,263.74,42,42,42,30.0
B_setcover_320_0,setcover,B,320,0,milp,scip,OPTIMAL,True,42,2.6806,0.0,42,42,42,30.0
B_setcover_320_0,setcover,B,320,0,cp,gecode,SAT,False,155,30.0,43.93,155,155,155,30.0
B_setcover_320_0,setcover,B,320,0,cp,cpsat,SAT,False,42,31.2447,263.74,42,42,42,30.0
C_bvcover_32_0,bvcover,C,32,0,omt,z3,OPTIMAL,True,359,0.0338,1.39,359,359,359,30.0
C_bvcover_32_0,bvcover,C,32,0,omt,optimathsat,OPTIMAL,True,359,0.1191,6.25,359,359,359,30.0
C_bvcover_48_0,bvcover,C,48,0,omt,z3,OPTIMAL,True,365,0.0329,1.26,365,365,365,30.0
C_bvcover_48_0,bvcover,C,48,0,omt,optimathsat,OPTIMAL,True,365,0.1264,6.24,365,365,365,30.0
C_bvcover_64_0,bvcover,C,64,0,omt,z3,OPTIMAL,True,8519,0.0331,1.66,8519,8519,8519,30.0
C_bvcover_64_0,bvcover,C,64,0,omt,optimathsat,OPTIMAL,True,8519,0.1209,6.2,8519,8519,8519,30.0
C_bvcover_96_0,bvcover,C,96,0,omt,z3,OPTIMAL,True,8287,0.0658,1.32,8287,8287,8287,30.0
C_bvcover_96_0,bvcover,C,96,0,omt,optimathsat,OPTIMAL,True,8287,0.121,6.32,8287,8287,8287,30.0
